1610612748,Heat,19600
1610612742,Mavericks,19200
1610612753,Magic,18846
1610612759,Spurs,18418
1610612754,Pacers,17923
1610612751,Nets,17732
1610612764,Wizards,20356
1610612760,Thunder,18203
1610612763,Grizzlies,17794
1610612749,Bucks,17500
1610612758,Kings,17583
1610612765,Pistons,20491
1610612752,Knicks,19812
1610612757,Trail Blazers,19441
1610612744,Warriors,19596
1610612743,Nuggets,19520
1610612739,Cavaliers,20562
1610612761,Raptors,19800
1610612740,Pelicans,16867
1610612766,Hornets,19077
1610612746,Clippers,19068
1610612747,Lakers,18997
1610612737,Hawks,16600
1610612756,Suns,18055
1610612750,Timberwolves,18978
1610612738,Celtics,18624
1610612745,Rockets,18055
1610612741,Bulls,20917
1610612762,Jazz,18306
1610612755,76ers,20478
