21700608,18055,1610612745,121,1610612757,112
21700609,14312,1610612763,105,1610612740,102
21700610,14543,1610612749,110,1610612753,103
21700611,18978,1610612750,104,1610612760,88
21700612,14182,1610612743,97,1610612737,110
21700613,19596,1610612744,106,1610612746,125
21700614,19078,1610612755,103,1610612738,114
21700615,19923,1610612761,133,1610612739,99
21700616,17583,1610612758,115,1610612746,121
21700617,18997,1610612747,93,1610612759,81
21700618,14848,1610612766,99,1610612762,88
21700619,17923,1610612754,97,1610612739,95
21700620,18171,1610612764,125,1610612753,119
21700621,13093,1610612737,105,1610612751,110
21700622,18717,1610612749,94,1610612744,108
21700623,18978,1610612750,118,1610612752,108
21700624,17003,1610612740,119,1610612757,113
21700625,15607,1610612743,87,1610612763,78
21700626,18055,1610612756,95,1610612745,112
21700627,20209,1610612742,101,1610612747,107
21700628,16656,1610612746,126,1610612758,105
21700629,19624,1610612766,91,1610612760,101
21700630,18354,1610612764,119,1610612751,113
21700631,20078,1610612761,125,1610612744,127
21700632,21613,1610612741,107,1610612765,105
21700633,18418,1610612759,112,1610612743,80
21700634,19600,1610612748,97,1610612749,79
21700635,19812,1610612752,118,1610612740,123
21700636,17091,1610612756,97,1610612754,120
21700637,14739,1610612750,120,1610612757,103
21700638,17200,1610612765,107,1610612766,118
21700639,20637,1610612755,117,1610612761,111
21700640,19607,1610612764,95,1610612749,104
21700641,15806,1610612737,102,1610612759,99
21700642,17732,1610612751,104,1610612752,119
21700643,18203,1610612760,95,1610612758,88
21700644,20546,1610612741,119,1610612748,111
21700645,17794,1610612763,123,1610612747,114
21700646,20562,1610612739,108,1610612744,118
21700647,18306,1610612762,94,1610612754,109
21700648,17622,1610612746,113,1610612745,102
21700649,18589,1610612753,108,1610612750,102
21700650,18624,1610612738,113,1610612740,116
21700651,14097,1610612743,105,1610612742,102
21700652,18604,1610612757,118,1610612756,111
21700653,11528,1610612766,133,1610612764,109
21700654,10894,1610612737,94,1610612740,93
21700655,15425,1610612751,95,1610612759,100
21700656,19800,1610612761,96,1610612765,91
21700657,21372,1610612741,112,1610612744,119
21700658,12885,1610612763,105,1610612752,99
21700659,16695,1610612749,101,1610612748,106
21700660,18203,1610612760,114,1610612747,90
21700661,17583,1610612758,105,1610612762,120
21700662,15043,1610612746,109,1610612743,104
21700663,18624,1610612738,80,1610612755,89
21700664,20562,1610612739,104,1610612753,103
21700665,18055,1610612745,116,1610612750,98
21700666,19071,1610612757,100,1610612754,86
21700667,19800,1610612761,86,1610612759,83
21700668,17732,1610612751,101,1610612748,95
21700669,14744,1610612765,112,1610612764,122
21700670,16831,1610612763,106,1610612758,88
21700671,15732,1610612743,100,1610612756,108
21700672,18306,1610612762,115,1610612752,117
21700673,18997,1610612747,99,1610612754,86
21700674,20562,1610612739,124,1610612760,148
21700675,15597,1610612737,97,1610612741,113
21700676,18687,1610612766,105,1610612748,106
21700677,18212,1610612740,111,1610612763,104
21700678,20826,1610612755,116,1610612749,94
21700679,18055,1610612745,116,1610612744,108
21700680,17828,1610612750,115,1610612761,109
